DATA INICIAL,DATA FINAL,REGIÃO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MÊS,ANO
2004-06-13,2004-06-19,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,144,R$/l,1.355,0.069,1.09,1.41,0.413,0.051,0.942,0.152,0.4094,1.2331,0.161,6,2004
2004-06-13,2004-06-19,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,382,R$/l,1.212,0.124,0.92,1.52,0.384,0.102,0.828,0.086,0.58841,1.1438,0.104,6,2004
2004-06-13,2004-06-19,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,195,R$/l,1.442,0.11,1.19,1.77,0.411,0.076,1.031,0.108,0.654,1.4699,0.105,6,2004
2004-06-13,2004-06-19,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,178,R$/l,1.342,0.078,1.1,1.499,0.408,0.0579999999999999,0.934,0.117,0.603,1.2199,0.125,6,2004
2004-06-13,2004-06-19,NORDESTE,ALAGOAS,ETANOL HIDRATADO,104,R$/l,1.222,0.061,1.09,1.4,0.275,0.05,0.947,0.088,0.7561,1.2204,0.093,6,2004
2004-06-13,2004-06-19,NORDESTE,BAHIA,ETANOL HIDRATADO,419,R$/l,1.433,0.105,0.999,1.95,0.458,0.073,0.975,0.151,0.5686,1.409,0.155,6,2004
2004-06-13,2004-06-19,NORDESTE,CEARA,ETANOL HIDRATADO,275,R$/l,1.467,0.193999999999999,1.05,1.95,0.316,0.132,1.151,0.091,0.8572,1.3155,0.079,6,2004
2004-06-13,2004-06-19,NORDESTE,MARANHAO,ETANOL HIDRATADO,105,R$/l,1.633,0.158,1.29,2.0,0.473,0.0969999999999999,1.16,0.134,0.9591,1.4801,0.116,6,2004
2004-06-13,2004-06-19,NORDESTE,PARAIBA,ETANOL HIDRATADO,128,R$/l,1.331,0.111999999999999,1.14,1.699,0.355,0.084,0.976,0.086,0.7807,1.2392,0.088,6,2004
2004-06-13,2004-06-19,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,427,R$/l,1.269,0.108,0.999,1.7,0.262,0.085,1.007,0.094,0.71,1.3112,0.093,6,2004
2004-06-13,2004-06-19,NORDESTE,PIAUI,ETANOL HIDRATADO,97,R$/l,1.617,0.083,1.33,1.78,0.492,0.051,1.125,0.106,0.8875,1.41,0.094,6,2004
2004-06-13,2004-06-19,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,123,R$/l,1.323,0.0969999999999999,1.12,1.59,0.328,0.073,0.995,0.112,0.78477,1.3143,0.113,6,2004
2004-06-13,2004-06-19,NORDESTE,SERGIPE,ETANOL HIDRATADO,46,R$/l,1.33,0.061,1.169,1.45,0.282,0.046,1.048,0.121,0.682,1.2327,0.115,6,2004
2004-06-13,2004-06-19,NORTE,ACRE,ETANOL HIDRATADO,33,R$/l,1.806,0.127,1.54,1.98,0.622,0.07,1.184,0.171,0.789,1.3121,0.144,6,2004
2004-06-13,2004-06-19,NORTE,AMAPA,ETANOL HIDRATADO,15,R$/l,1.933,0.163999999999999,1.75,2.15,0.465,0.085,1.468,0.158,1.1527,1.8465,0.108,6,2004
2004-06-13,2004-06-19,NORTE,AMAZONAS,ETANOL HIDRATADO,57,R$/l,1.555,0.115999999999999,1.259,1.85,0.496,0.075,1.059,0.068,0.93,1.2412,0.064,6,2004
2004-06-13,2004-06-19,NORTE,PARA,ETANOL HIDRATADO,115,R$/l,1.921,0.235,1.29,2.4,0.595,0.122,1.326,0.218,0.7735,1.8713,0.164,6,2004
2004-06-13,2004-06-19,NORTE,RONDONIA,ETANOL HIDRATADO,98,R$/l,1.54,0.135,1.18,1.99,0.51,0.088,1.03,0.124,0.7002,1.3306,0.12,6,2004
2004-06-13,2004-06-19,NORTE,RORAIMA,ETANOL HIDRATADO,14,R$/l,1.46,0.071,1.3,1.5,0.296,0.049,1.164,0.067,0.9909,1.2797,0.058,6,2004
2004-06-13,2004-06-19,NORTE,TOCANTINS,ETANOL HIDRATADO,72,R$/l,1.306,0.091,1.099,1.59,0.569,0.07,0.737,0.096,0.5621,0.983,0.13,6,2004
2004-06-13,2004-06-19,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,313,R$/l,1.182,0.12,0.93,1.47,0.283,0.102,0.899,0.098,0.6662,1.2623,0.109,6,2004
2004-06-13,2004-06-19,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,1250,R$/l,1.258,0.100999999999999,0.96,1.68,0.334,0.08,0.924,0.126,0.46,1.42,0.136,6,2004
2004-06-13,2004-06-19,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,952,R$/l,1.178,0.16,0.84,1.599,0.249,0.136,0.929,0.195,0.4126,1.3667,0.21,6,2004
2004-06-13,2004-06-19,SUDESTE,SAO PAULO,ETANOL HIDRATADO,4069,R$/l,0.898,0.074,0.739,1.2,0.197,0.0819999999999999,0.701,0.067,0.48,1.0669,0.096,6,2004
2004-06-13,2004-06-19,SUL,PARANA,ETANOL HIDRATADO,770,R$/l,1.071,0.08,0.84,1.44,0.3,0.075,0.771,0.123,0.4357,0.995,0.16,6,2004
2004-06-13,2004-06-19,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,675,R$/l,1.374,0.133,0.999,1.71,0.367,0.0969999999999999,1.007,0.116,0.6443,1.348,0.115,6,2004
2004-06-13,2004-06-19,SUL,SANTA CATARINA,ETANOL HIDRATADO,509,R$/l,1.31,0.059,1.15,1.5,0.373,0.045,0.937,0.117,0.66,1.212,0.125,6,2004
